"transaction_id,customer_id,product_id,quantity,price_per_unit,transaction_timestamp,store_id,payment_method"
"T011,C106,P007,1,120.00,2025-06-11T09:00:00Z,S04,Credit Card"
"T012,C107,P001,2,10.50,2025-06-11T09:30:00Z,S01,Debit Card"
"T013,C106,P002,1,5.75,2025-06-11T10:00:00Z,S04,Cash"
"T014,C101,P005,1,50.00,2025-06-11T10:30:00Z,S03,Credit Card"
"T015,C108,P003,2,25.00,2025-06-11T11:00:00Z,S01,Credit Card"
"T016,C107,P004,3,12.00,2025-06-11T11:45:00Z,S02,Cash"
"T017,C109,P001,1,10.50,2025-06-11T12:00:00Z,S04,Credit Card"
"T018,C108,P006,1,75.00,2025-06-11T13:00:00Z,S01,Debit Card"
"T019,C106,P001,1,10.50,2025-06-11T14:00:00Z,S03,Credit Card"
"T020,C102,P007,1,120.00,2025-06-11T15:00:00Z,S02,Cash"
